"PV1SCIE","PV1READ","PV1MATH","SOCONPA","INFOJOB2","INFOJOB1","INFOCAR","ICTOUTSIDE","ICTCLASS","HOMESCH","ENTUSE","BELONG","MASTGOAL","RESILIENCE","SWBP","EUDMO","GFOFAIL","WORKMAST","COMPETE","ATTLNACT","PISADIFF","SCREADDIFF","SCREADCOMP","JOYREAD","TEACHINT","ADAPTIVITY","STIMREAD","PERFEED","DIRINS","TEACHSUP","DISCLIMA","ICTRES","WEALTH","HEDRES","CULTPOSS","HOMEPOS","ICTSCH","ICTHOME","ESCS","CHANGE","SCCHANGE","AGE","GRADE","ST016Q01NA","IMMIG","HISEI","HISCED","FISCED","MISCED","ISCEDL","ST001D01T","REPEAT","ST004D01T"
532.668,541.067,554.997,0.9078,-1.4728,-0.9778,-0.68,-0.5014,0.0735,-0.5456,-0.3066,-0.4415,0.3468,-0.0614,-0.5928,-0.569,1.8905,-0.6545,0.1244,1.0844,-1.272,-0.0697,0.1222,1.0123,0.1744,0.937,1.1884,0.7743,0.286,1.314,0.871,0.333,-0.2914,1.1793,2.3457,0.9205,7,8,0.9837,2,2,15.33,0,6,1,65.23,6,6,6,2,9,0,1
481.948,539.413,547.058,-0.5578,0.0968,1.9988,0.8265,0.0114,-1.0384,0.1611,-0.5575,-0.6287,-0.5589,-0.5176,0.1869,-1.2631,0.8794,-0.1015,-0.9792,0.0281,-0.2888,0.795,-1.0985,-0.4934,1.3209,0.1093,1.0419,1.251,0.3737,0.6259,-1.8167,2.6563,2.3254,0.0477,0.4235,1.0652,6,11,0.9085,1,1,15.58,1,0,1,58.07,6,6,5,3,10,0,1
447.249,560.945,507.938,0.3334,0.5132,-0.9778,-1.9166,-0.1617,-1.2188,-0.124,-3.594,-0.763,0.1123,-0.8109,-1.1176,-0.9827,-0.13,-1.034,-0.733,0.4667,-1.272,0.8207,0.8214,0.4627,0.6797,-0.9282,0.2751,-0.3253,-0.3893,0.3485,0.7538,0.135,-0.0944,-1.3835,0.572,-0.0953,5,8,0.4889,0,0,15.5,0,5,1,61.82,6,6,6,2,9,0,1
518.666,525.831,525.135,0.9078,-0.7697,-0.9778,-1.9166,-0.7413,-1.2188,-0.6139,-0.3477,-0.3389,-0.4347,-0.5176,0.1038,0.2621,1.1422,-0.1015,0.4352,1.0844,0.7192,0.5371,-0.5485,0.2864,0.6797,0.4546,0.7904,0.0728,-0.7592,0.1694,-0.1693,0.6901,0.7711,0.0477,2.3457,1.5038,7,10,1.346,1,1,15.67,0,7,1,71.29,6,6,6,2,9,1,1
581.412,637.932,606.293,0.9078,-1.4728,1.2572,0.5312,0.6131,0.5879,-0.0986,0.0736,1.4685,0.9703,0.3438,0.5012,0.8126,1.8905,1.1448,1.1811,0.4667,-1.272,-0.524,1.2374,-0.0176,1.8245,0.836,1.0419,-0.3253,-0.1342,0.4522,0.2108,0.2111,0.0308,1.1793,0.6623,0.6853,8,11,1.2954,0,0,15.92,1,9,1,86.81,6,6,6,3,10,0,1
624.949,608.486,630.601,-1.089,1.4601,1.9988,0.5312,-0.4809,-1.2188,-0.8215,-1.0606,-1.1206,1.4751,0.3858,-0.5928,-0.9827,0.052,-0.1015,0.7871,1.0844,0.2705,-0.524,0.8214,0.7789,-0.6573,0.1041,0.7586,-0.3253,-0.7598,0.7628,-1.2051,1.8669,1.1342,0.0477,-0.4948,0.6596,6,10,1.0909,0,0,15.92,1,7,1,76.65,6,6,4,3,10,0,2
552.103,620.256,692.543,0.9078,-1.4728,-0.9778,-1.0823,-0.3731,1.4336,-0.341,-0.4945,-0.6326,0.1123,-0.1433,-0.5928,-0.8095,0.8794,-0.772,0.7871,0.4667,-0.0545,1.5715,-0.825,-0.6146,1.8245,0.8329,1.4931,0.0728,-0.8968,0.2148,-1.3453,0.3092,-0.0935,1.1793,1.0068,0.913,8,6,1.1951,1,1,15.5,0,4,1,76.49,6,6,5,2,9,0,1
419.105,413.774,478.087,0.3691,0.2691,0.8657,0.3039,-0.0416,-0.4413,-1.2112,0.6337,-0.6843,0.1123,-0.5325,0.5012,-0.569,-1.1597,-1.071,0.7871,1.0844,0.2705,0.795,-0.825,-1.0555,-0.7827,-0.5754,-0.2336,-0.5551,1.1049,-0.1697,-0.0048,0.1042,0.4032,-0.6947,0.094,0.1892,6,9,0.7716,1,0,15.5,1,8,2,70.34,6,6,6,3,10,0,2
716.74,628.335,577.039,0.1965,-1.4728,-0.9778,-1.1281,-0.0801,-1.2188,-1.1883,-0.6677,-0.4509,-0.8444,-0.4684,0.1869,-0.569,-0.2006,-0.6545,1.1811,0.0281,0.2705,0.5082,-0.4089,0.2694,-0.2934,-0.1687,-1.2261,-0.6555,-0.9726,0.2148,1.1945,-0.239,-0.3018,-0.6853,1.8376,0.3421,4,10,1.0663,0,0,15.83,0,8,1,82.41,6,6,6,2,9,1,2
597.968,595.858,517.502,0.9078,-0.7697,-0.9778,-0.4238,0.2952,0.9237,-0.3211,0.0531,-0.3184,-0.8444,-0.0614,-0.5928,-0.9827,0.4637,-0.6545,0.1956,0.4667,0.2705,-0.524,0.1222,-0.1542,-0.3689,-2.2652,-0.5068,0.2012,-1.6464,-0.5973,-0.4003,-0.7308,-0.8178,-0.6122,1.514,0.0562,7,9,0.7353,0,0,15.25,0,8,2,71.39,6,6,5,2,9,0,2
675.065,710.946,658.652,0.9078,-0.1744,0.5109,0.9151,-1.3048,-1.2188,-0.5392,-0.625,0.0834,0.8753,1.0994,0.5012,0.2621,1.4083,1.1448,0.6314,1.0844,-1.272,-1.8876,1.2374,2.6131,1.8245,1.323,0.6521,-0.3253,0.0345,1.314,0.2108,0.2272,-0.094,-0.1357,2.3457,1.0943,4,9,1.4667,1,1,16,1,9,1,86.72,6,6,6,3,10,0,1
424.666,516.986,462.984,0.9078,-1.4728,-0.9778,-0.68,0.2543,-1.2188,-0.3271,-0.6195,2.7249,-0.6331,0.7396,0.6502,0.9759,-0.687,-0.6545,0.1956,1.0844,1.2958,0.409,-0.4089,-0.7553,1.2662,0.4546,0.2147,-0.7784,-0.7134,1.314,0.2108,1.2243,1.3158,0.7604,0.1882,0.8401,4,8,0.2495,0,0,15.5,0,8,1,28.48,6,3,6,2,9,0,1
635.599,644.595,556.519,0.1965,-0.7697,-0.9778,-0.7602,-0.8181,-0.5142,-0.2333,0.3298,-0.9111,0.1123,0.7761,0.4094,-1.593,1.4083,0.5693,1.1811,1.0844,0.2705,-0.0697,0.1222,0.3568,0.9684,0.1915,-0.0352,1.3514,-0.7879,-0.2023,-0.1836,-0.2532,0.3324,-0.4903,0.572,0.3005,7,11,0.0305,1,1,15.25,0,4,1,28.97,6,6,6,2,9,0,1
570.395,501.537,503.521,0.9078,0.202,0.5109,1.3659,-0.343,-1.2188,0.2944,-0.4967,-0.3184,0.3468,-0.0614,-0.1064,0.2621,-0.2006,-0.1015,0.7871,1.0844,0.2705,0.409,0.8214,0.638,1.2403,0.1941,0.5843,0.7743,0.182,0.7015,0.627,0.069,-0.4831,0.0477,2.3457,0.5797,8,10,1.0192,2,0,16.17,1,9,2,74.66,6,6,6,3,10,0,2
476.566,448.276,469.228,-0.1607,0.7196,0.7224,0.036,-0.4358,-1.2188,-0.261,1.63,-0.9442,0.9703,-0.4684,0.1038,-0.9827,0.4637,-1.071,0.1956,0.4626,1.2958,1.5715,-1.3543,-1.3214,0.9684,0.8329,-0.0042,0.7743,0.1333,0.7015,-1.0454,0.0895,-0.2719,-0.3792,0.2057,-0.0345,4,11,0.6428,1,1,15.33,0,8,3,68.55,6,6,6,2,9,0,1
502.221,461.986,466.066,-1.9709,-1.4728,-0.0726,-1.9166,-0.3427,-0.6098,-0.6104,-0.5091,-1.3298,-1.6071,-1.0583,-1.6203,-1.2631,0.4637,-1.3692,-0.2661,-1.6122,0.2705,1.5959,-1.3543,-1.1538,-2.2177,-1.0467,-1.3412,-0.7784,-1.6456,-1.555,-0.4667,-0.6068,-0.4873,-2.2417,-0.7992,-1.3741,3,7,-0.8669,0,0,15.75,0,3,1,52.72,4,4,4,2,9,0,2
649.756,628.729,560.691,-1.0299,-0.6814,1.1778,-0.0299,-0.0267,-0.6098,-0.1968,-1.0234,-0.5719,-0.5589,-0.8109,-0.5928,0.2621,-0.4342,-1.034,0.6314,1.0844,-0.7816,-0.0697,-0.4419,0.1984,0.1744,0.4572,-0.0073,-0.3253,-0.5794,-0.4377,-0.0424,0.333,0.44,1.1793,-0.1627,0.4717,8,9,0.7709,0,0,15.83,2,4,2,76.65,5,5,5,3,11,0,2
535.007,541.471,453.884,-1.663,-0.0474,0.0307,-0.0099,0.0477,0.5016,-0.6156,0.9356,-0.1657,-0.094,-1.7292,-0.5928,-1.7389,1.4083,-1.071,-0.2661,1.0844,-0.6346,-0.556,0.1222,-1.2014,0.5665,-0.1716,0.7551,0.299,0.0544,-0.2327,1.1945,-0.8992,-0.2137,-1.3099,-0.0437,-0.7153,6,6,-0.0721,0,0,15.75,2,3,1,58.77,5,4,5,3,11,0,2
438.618,503.814,446.504,0.9078,-0.7697,-0.9778,-1.9166,-1.3048,-0.6098,-0.9139,-0.3934,-0.0358,0.5761,0.4793,-0.5928,-0.4066,-0.4342,0.6291,-0.2661,1.0844,0.2705,-1.1635,0.1222,0.5572,1.2403,0.836,2.0871,2.0165,1.0067,0.4394,-0.0424,-1.5044,-1.4855,-1.956,-1.9141,-2.1109,7,7,-1.0768,1,1,15.5,0,7,1,58.07,4,4,4,2,9,0,1
